home_team,away_team,tournament,city,country,neutral,result
Jamaica,Barbados,Friendly,Kingston,Jamaica,FALSE,1
United States,Poland,Friendly,Hershey,United States,FALSE,2
Portugal,England,Friendly,Oeiras,Portugal,FALSE,1
Serbia,Morocco,Friendly,Turin,Italy,TRUE,1
Vietnam,Philippines,AFF Championship,Jakarta,Indonesia,TRUE,2
Spain,Israel,UEFA Euro qualification,Albacete,Spain,FALSE,2
Belgium,Netherlands,Friendly,Antwerp,Belgium,FALSE,2
Myanmar,Indonesia,Merdeka Tournament,Kuala Lumpur,Malaysia,TRUE,2
Togo,Senegal,FIFA World Cup qualification,Lomé,Togo,FALSE,2
Guadeloupe,Jamaica,CFU Caribbean Cup qualification,Pointe-à-Pitre,Guadeloupe,FALSE,0
Yemen,Saudi Arabia,Arab Cup,Kuwait City,Kuwait,TRUE,0
Yemen,Ethiopia,Friendly,Sana'a,Yemen,FALSE,0
Slovakia,Poland,FIFA World Cup qualification,Bratislava,Slovakia,FALSE,2
Kenya,Tanzania,CECAFA Cup,Nairobi,Kenya,FALSE,2
Namibia,Mozambique,COSAFA Cup,Windhoek,Namibia,FALSE,2
Vanuatu,Fiji,FIFA World Cup qualification,Port Vila,Vanuatu,FALSE,1
Kazakhstan,Belarus,UEFA Nations League,Astana,Kazakhstan,FALSE,2
Cuba,United States,CONCACAF Nations League,George Town,Cayman Islands,TRUE,1
Bolivia,Peru,FIFA World Cup qualification,La Paz,Bolivia,FALSE,2
Yugoslavia,Hungary,Friendly,Banja Luka,Yugoslavia,FALSE,0
Azerbaijan,Sweden,FIFA World Cup qualification,Baku,Azerbaijan,FALSE,1
Vietnam,Lebanon,AFC Asian Cup qualification,Hanoi,Vietnam,FALSE,2
Sudan,Nigeria,FIFA World Cup qualification,Khartoum,Sudan,FALSE,0
Tanzania,Sudan,Friendly,Dar es Salaam,Tanzania,FALSE,2
Kuwait,Nepal,FIFA World Cup qualification,Kuwait City,Kuwait,FALSE,2
Cyprus,Israel,FIFA World Cup qualification,Limassol,Cyprus,FALSE,2
Norway,Russia,Friendly,Oslo,Norway,FALSE,2
China PR,Jordan,AFC Asian Cup qualification,Guangzhou,China PR,FALSE,2
Cuba,French Guiana,CFU Caribbean Cup,Montego Bay,Jamaica,TRUE,0
Cape Verde,Mauritania,African Cup of Nations qualification,Praia,Cape Verde,FALSE,2
Kuwait,Qatar,AFC Asian Cup,Kuwait City,Kuwait,FALSE,2
Anguilla,British Virgin Islands,Friendly,Quartier d'Orléans,Saint Martin,TRUE,1
Scotland,Belgium,Friendly,Glasgow,Scotland,FALSE,0
Egypt,Liberia,Friendly,Alexandria,Egypt,FALSE,2
Sierra Leone,Ghana,Friendly,Freetown,Sierra Leone,FALSE,1
Uzbekistan,Kazakhstan,Friendly,Tashkent,Uzbekistan,FALSE,2
Cameroon,Namibia,African Cup of Nations qualification,Yaoundé,Cameroon,FALSE,0
Guatemala,Dominican Republic,CONCACAF Nations League,Guatemala City,Guatemala,FALSE,2
Jordan,Sudan,Friendly,Amman,Jordan,FALSE,0
Tunisia,Angola,African Cup of Nations,Tamale,Ghana,TRUE,0
Israel,Belgium,Friendly,Jaffa,Israel,FALSE,2
Tunisia,Egypt,Friendly,Tunis,Tunisia,FALSE,2
Saudi Arabia,Honduras,Friendly,Abu Dhabi,United Arab Emirates,TRUE,0
Belgium,Sweden,Friendly,Brussels,Belgium,FALSE,2
Japan,China PR,Kirin Cup,Nagoya,Japan,FALSE,1
Slovenia,Latvia,Friendly,Celje,Slovenia,FALSE,1
Chile,Uruguay,Friendly,Santiago,Chile,FALSE,0
Slovenia,Malta,FIFA World Cup qualification,Ljubljana,Slovenia,FALSE,2
Sweden,Latvia,Friendly,Västerås,Sweden,FALSE,2
Scotland,England,British Home Championship,Glasgow,Scotland,FALSE,1
Greece,Austria,Friendly,Kavála,Greece,FALSE,1
South Korea,Uzbekistan,Friendly,Jeonju,South Korea,FALSE,2
Singapore,Malaysia,AFC Asian Cup qualification,Kallang,Singapore,FALSE,1
Jersey,Alderney,Muratti Vase,Jersey,Jersey,FALSE,2
Curaçao,Costa Rica,Friendly,Willemstad,Netherlands Antilles,FALSE,0
Algeria,Burkina Faso,Friendly,Algiers,Algeria,FALSE,2
Saudi Arabia,Russia,Friendly,Khobar,Saudi Arabia,FALSE,2
Finland,Scotland,Friendly,Helsinki,Finland,FALSE,1
Ethiopia,Uganda,Friendly,Addis Ababa,Ethiopia,FALSE,2
Venezuela,Uruguay,FIFA World Cup qualification,Caracas,Venezuela,FALSE,1
Yemen,Jordan,FIFA World Cup qualification,Chengdu,China PR,TRUE,0
Italy,France,Friendly,Turin,Italy,FALSE,2
Mali,Guinea,Amílcar Cabral Cup,Bamako,Mali,FALSE,0
Spain,Romania,UEFA Euro qualification,Madrid,Spain,FALSE,0
Iceland,Czech Republic,UEFA Euro qualification,Reykjavík,Iceland,FALSE,2
Ticino,Raetia,CONIFA World Football Cup qualification,Tenero-Contra,Switzerland,FALSE,1
Republic of Ireland,Colombia,Friendly,London,England,TRUE,2
Aruba,Cuba,CCCF Championship,Tegucigalpa,Honduras,TRUE,2
Syria,Saudi Arabia,AFC Asian Cup,Doha,Qatar,TRUE,1
Hungary,Albania,Balkan Cup,Budapest,Hungary,FALSE,2
Algeria,Senegal,African Cup of Nations qualification,Algiers,Algeria,FALSE,2
Moldova,Malta,Friendly,Chișinău,Moldova,FALSE,2
Argentina,South Korea,FIFA World Cup,Mexico City,Mexico,TRUE,2
China PR,Japan,Friendly,Shanghai,China PR,FALSE,2
Sweden,Spain,FIFA World Cup qualification,Stockholm,Sweden,FALSE,2
Croatia,Denmark,FIFA World Cup,Nizhny Novgorod,Russia,TRUE,0
Saint Kitts and Nevis,Martinique,CFU Caribbean Cup,Basseterre,Saint Kitts and Nevis,FALSE,2
Martinique,Cuba,CFU Caribbean Cup,Fort-de-France,Martinique,FALSE,1
Singapore,South Korea,Friendly,Kallang,Singapore,FALSE,1
Colombia,Uruguay,FIFA World Cup qualification,Barranquilla,Colombia,FALSE,0
Iraq,South Korea,Asian Games,Tehran,Iran,TRUE,0
Honduras,Jamaica,Friendly,San Pedro Sula,Honduras,FALSE,2
Dominican Republic,Guatemala,CONCACAF Nations League,Santo Domingo,Dominican Republic,FALSE,0
Bulgaria,Lithuania,Friendly,Sofia,Bulgaria,FALSE,2
Liberia,Uganda,African Cup of Nations qualification,Monrovia,Liberia,FALSE,2
Moldova,Romania,Friendly,Chișinău,Moldova,FALSE,1
Uruguay,Argentina,Copa América,Goiânia,Brazil,TRUE,1
Gabon,Niger,FIFA World Cup qualification,Franceville,Gabon,FALSE,2
Argentina,Peru,Copa América,Santiago,Chile,TRUE,2
Poland,Republic of Ireland,Friendly,Wrocław,Poland,FALSE,0
Northern Ireland,Austria,UEFA Nations League,Belfast,Northern Ireland,FALSE,1
Spain,Scotland,UEFA Euro qualification,Valencia,Spain,FALSE,0
Senegal,Tunisia,Friendly,Dakar,Senegal,FALSE,1
Guam,Tahiti,South Pacific Games,Lae,Papua New Guinea,TRUE,1
North Korea,Portugal,FIFA World Cup,Liverpool,England,TRUE,1
Ghana,Mexico,Friendly,London,England,TRUE,1
Romania,Northern Ireland,Friendly,Chicago,United States,TRUE,2
Italy,Spain,Friendly,Milan,Italy,FALSE,0
Indonesia,Philippines,Merdeka Tournament,Kuala Lumpur,Malaya,TRUE,2
Suriname,Netherlands,Friendly,Paramaribo,Suriname,FALSE,1
Martinique,Guadeloupe,Friendly,Fort-de-France,Martinique,FALSE,2
Laos,Malaysia,AFF Championship,Songkhla,Thailand,TRUE,1
Russia,Turkey,Friendly,Moscow,Russia,FALSE,2
Romania,Greece,FIFA World Cup qualification,Bucharest,Romania,FALSE,2
Solomon Islands,Vanuatu,Friendly,Honiara,Solomon Islands,FALSE,1
Alderney,Felvidék,Niamh Challenge Cup,Douglas,Isle of Man,TRUE,1
Guam,Cambodia,AFC Asian Cup qualification,Isa Town,Bahrain,TRUE,1
Equatorial Guinea,São Tomé and Príncipe,Friendly,Malabo,Equatorial Guinea,FALSE,2
El Salvador,Jamaica,FIFA World Cup qualification,San Salvador,El Salvador,FALSE,0
Samoa,American Samoa,FIFA World Cup qualification,Apia,Samoa,FALSE,2
North Macedonia,Ukraine,UEFA Euro qualification,Skopje,North Macedonia,FALSE,1
Chile,Austria,FIFA World Cup,Saint-Étienne,France,TRUE,0
Iceland,Norway,UEFA Euro qualification,Reykjavík,Iceland,FALSE,2
North Vietnam,Yemen,GaNEFo,Phnom Penh,Cambodia,TRUE,2
Guatemala,El Salvador,Friendly,Guatemala,Guatemala,FALSE,2
Tajikistan,Philippines,AFC Challenge Cup,Kathmandu,Nepal,TRUE,1
Czech Republic,Lithuania,Friendly,Ostrava,Czech Republic,FALSE,2
Bahrain,Singapore,Friendly,Manama,Bahrain,FALSE,2
Yemen,Libya,Friendly,Sana'a,Yemen,FALSE,0
Malaysia,South Korea,Friendly,Kuala Lumpur,Malaya,FALSE,1
Gambia,Sierra Leone,Amílcar Cabral Cup,Dakar,Senegal,TRUE,0
Panama,Cuba,Copa América qualification,Panama City,Panama,FALSE,2
Angola,Zimbabwe,African Cup of Nations qualification,Luanda,Angola,FALSE,2
Bangladesh,Nepal,SAFF Cup,New Delhi,India,TRUE,1
Myanmar,Thailand,Southeast Asian Peninsular Games,Rangoon,Burma,FALSE,2
Botswana,Ethiopia,Friendly,Gaborone,Botswana,FALSE,1
DR Congo,Zambia,Friendly,Kinshasa,Zaïre,FALSE,1
Nigeria,Uganda,African Cup of Nations,Kumasi,Ghana,TRUE,1
Netherlands,Belgium,Friendly,Rotterdam,Netherlands,FALSE,0
Spain,France,Friendly,Madrid,Spain,FALSE,1
Iceland,Russia,UEFA Euro qualification,Reykjavík,Iceland,FALSE,2
Bolivia,Chile,Friendly,La Paz,Bolivia,FALSE,1
Hungary,Uruguay,Friendly,Budapest,Hungary,FALSE,1
Yugoslavia,Greece,Balkan Cup,Belgrade,Yugoslavia,FALSE,2
Iran,Spain,FIFA World Cup,Kazan,Russia,TRUE,1
Saudi Arabia,Argentina,Confederations Cup,Riyadh,Saudi Arabia,FALSE,1
Italy,Austria,FIFA World Cup,Rome,Italy,FALSE,2
Sweden,Germany,Friendly,Stockholm,Sweden,FALSE,0
Saudi Arabia,United States,Friendly,Khobar,Saudi Arabia,FALSE,2
Panama,Guatemala,Friendly,Panama City,Panama,FALSE,2
Solomon Islands,New Zealand,FIFA World Cup qualification,Honiara,Solomon Islands,FALSE,1
Oman,Guam,FIFA World Cup qualification,Muscat,Oman,FALSE,2
Dominica,Guadeloupe,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,TRUE,0
Togo,Zambia,FIFA World Cup qualification,Lomé,Togo,FALSE,2
Turkey,Germany,Friendly,Istanbul,Turkey,FALSE,1
Bulgaria,Finland,FIFA World Cup qualification,Sofia,Bulgaria,FALSE,2
Senegal,Sierra Leone,African Cup of Nations qualification,Dakar,Senegal,FALSE,0
Bermuda,Panama,CONCACAF Nations League,Hamilton,Bermuda,FALSE,1
South Africa,Malawi,COSAFA Cup,Durban,South Africa,FALSE,2
United States,Trinidad and Tobago,FIFA World Cup qualification,Richmond,United States,FALSE,2
Jordan,Saudi Arabia,Friendly,Amman,Jordan,FALSE,0
Lebanon,South Korea,FIFA World Cup qualification,Sidon,Lebanon,FALSE,1
Portugal,England,FIFA World Cup qualification,Oeiras,Portugal,FALSE,0
San Marino,Lithuania,UEFA Euro qualification,Serravalle,San Marino,FALSE,1
Sri Lanka,Maldives,Friendly,Colombo,Sri Lanka,FALSE,0
Guinea,Ivory Coast,African Cup of Nations qualification,Conakry,Guinea,FALSE,0
Germany,Slovakia,Friendly,Augsburg,Germany,FALSE,1
Sweden,Malta,UEFA Euro qualification,Stockholm,Sweden,FALSE,2
Libya,Rwanda,African Cup of Nations qualification,Radès,Tunisia,TRUE,0
New Zealand,New Caledonia,Oceania Nations Cup,North Shore,New Zealand,FALSE,2
France,England,Friendly,Paris,France,FALSE,2
Malaysia,Thailand,Merdeka Tournament,Kuala Lumpur,Malaysia,FALSE,0
France,Russia,Friendly,Paris,France,FALSE,0
Portugal,Northern Ireland,FIFA World Cup qualification,Lisbon,Portugal,FALSE,2
Djibouti,Somalia,CECAFA Cup,Kampala,Uganda,TRUE,0
Antigua and Barbuda,Guadeloupe,Friendly,Osbourn,Antigua and Barbuda,FALSE,0
Brazil,Yugoslavia,FIFA World Cup,Frankfurt am Main,Germany,TRUE,0
Luxembourg,Canada,Friendly,Luxembourg,Luxembourg,FALSE,1
United States,Chile,Friendly,Houston,United States,FALSE,0
Tunisia,Nigeria,Friendly,Tunis,Tunisia,FALSE,2
Czechoslovakia,Romania,UEFA Euro qualification,Bratislava,Czechoslovakia,FALSE,2
Nigeria,South Africa,African Cup of Nations,Cairo,Egypt,TRUE,2
El Salvador,Guatemala,UNCAF Cup,San Salvador,El Salvador,FALSE,1
Israel,Ukraine,Friendly,Petah Tikva,Israel,FALSE,1
Japan,Turkmenistan,AFC Asian Cup,Abu Dhabi,United Arab Emirates,TRUE,2
Saudi Arabia,Indonesia,AFC Asian Cup qualification,Dammam,Saudi Arabia,FALSE,2
Hungary,Netherlands,FIFA World Cup qualification,Budapest,Hungary,FALSE,1
Solomon Islands,Fiji,Pacific Mini Games,Port Vila,Vanuatu,TRUE,0
Mozambique,Angola,Friendly,Maputo,Mozambique,FALSE,0
Norway,Sweden,Friendly,Oslo,Norway,FALSE,0
Malawi,Uganda,Friendly,Blantyre,Malawi,FALSE,2
Ghana,Burkina Faso,West African Cup,Accra,Ghana,FALSE,2
Japan,Thailand,Kirin Cup,Tendo,Japan,FALSE,2
Togo,Liberia,African Cup of Nations qualification,Lomé,Togo,FALSE,0
Iran,Oman,AFC Asian Cup qualification,Tehran,Iran,FALSE,2
Eritrea,Sudan,CECAFA Cup,Mwanza,Tanzania,TRUE,2
Liberia,Nigeria,Friendly,Monrovia,Liberia,FALSE,0
Panama,Cuba,Friendly,La Chorrera,Panama,FALSE,2
Japan,Syria,Kirin Cup,Tokyo,Japan,FALSE,2
Guyana,Barbados,CFU Caribbean Cup qualification,Georgetown,Guyana,FALSE,2
Mexico,Serbia,Friendly,Monterrey,Mexico,FALSE,1
Israel,South Korea,Friendly,Ramat-Gan,Israel,FALSE,0
Kazakhstan,Japan,East Asian Games,Busan,South Korea,TRUE,0
Eswatini,Lesotho,Friendly,Lobamba,Swaziland,FALSE,1
Kuwait,Lebanon,Friendly,Paphos,Cyprus,TRUE,2
Hong Kong,Australia,FIFA World Cup qualification,So Kon Po,Hong Kong,FALSE,1
Kuwait,Iraq,Friendly,Kuwait City,Kuwait,FALSE,1
Aruba,Curaçao,Friendly,Oranjestad,Aruba,FALSE,2
Portugal,Bosnia and Herzegovina,FIFA World Cup qualification,Lisbon,Portugal,FALSE,2
Malta,Netherlands,UEFA Euro qualification,Aachen,Germany,TRUE,1
Egypt,Cameroon,Friendly,Cairo,Egypt,FALSE,2
Cuba,French Guiana,CFU Caribbean Cup,North Sound,Antigua and Barbuda,TRUE,2
Australia,Turkey,Friendly,Sydney,Australia,FALSE,1
Venezuela,Paraguay,Friendly,Maturín,Venezuela,FALSE,0
Scotland,Northern Ireland,British Home Championship,Glasgow,Scotland,FALSE,2
North Macedonia,Croatia,Friendly,Skopje,North Macedonia,FALSE,1
Angola,Uganda,FIFA World Cup qualification,Luanda,Angola,FALSE,2
Haiti,Trinidad and Tobago,CONCACAF Championship qualification,Kingston,Jamaica,TRUE,2
Malaysia,Bangladesh,Merdeka Tournament,Kuala Lumpur,Malaysia,FALSE,2
Russia,Iran,Friendly,Kazan,Russia,FALSE,0
Croatia,Slovenia,UEFA Euro qualification,Zagreb,Croatia,FALSE,2
El Salvador,Peru,Friendly,Los Angeles,United States,TRUE,2
Italy,San Marino,Friendly,Bologna,Italy,FALSE,2
Ghana,Ethiopia,African Cup of Nations qualification,Kumasi,Ghana,FALSE,2
Estonia,Sweden,Friendly,Tallinn,Estonia,FALSE,0
Ukraine,Sweden,UEFA Euro,Kyiv,Ukraine,FALSE,2
Paraguay,Qatar,Copa América,Rio de Janeiro,Brazil,TRUE,0
Dominica,French Guiana,CFU Caribbean Cup qualification,Fort-de-France,Martinique,TRUE,1
Argentina,Colombia,Brazil Independence Cup,Salvador,Brazil,TRUE,2
Aruba,Panama,Friendly,Oranjestad,Aruba,FALSE,0
Algeria,Senegal,Friendly,Algiers,Algeria,FALSE,2
Dominica,Bahamas,CONCACAF Nations League qualification,Roseau,Dominica,FALSE,2
Morocco,Sudan,FIFA World Cup qualification,Rabat,Morocco,FALSE,2
Greece,Hungary,Friendly,Piraeus,Greece,FALSE,2
Qatar,Thailand,AFC Asian Cup,Hiroshima,Japan,TRUE,0
Philippines,Nepal,AFC Asian Cup qualification,Manila,Philippines,FALSE,2
Haiti,Trinidad and Tobago,Friendly,Port-au-Prince,Haiti,FALSE,2
Albania,North Macedonia,Prime Minister's Cup,Riffa,Bahrain,TRUE,0
Spain,Romania,UEFA Euro qualification,Valencia,Spain,FALSE,2
Taiwan,New Zealand,Intercontinental Cup,Mumbai,India,TRUE,1
Scotland,Slovakia,FIFA World Cup qualification,Glasgow,Scotland,FALSE,2
Barawa,Panjab,CONIFA World Football Cup,Sutton,England,FALSE,1
South Korea,Saudi Arabia,Friendly,Abu Dhabi,United Arab Emirates,TRUE,0
Ghana,Ivory Coast,African Cup of Nations,Khartoum,Sudan,TRUE,2
Greece,Republic of Ireland,Friendly,Athens,Greece,FALSE,0
Mexico,United States,Friendly,Mexico City,Mexico,FALSE,1
Sudan,DR Congo,FIFA World Cup qualification,Benghazi,Libya,TRUE,2
Bolivia,Argentina,FIFA World Cup qualification,La Paz,Bolivia,FALSE,2
Mauritius,Eswatini,COSAFA Cup qualification,Witbank,South Africa,TRUE,0
Panama,Trinidad and Tobago,Friendly,Panama City,Panama,FALSE,2
Iran,United Arab Emirates,FIFA World Cup qualification,Tehran,Iran,FALSE,2
Uganda,Ethiopia,CECAFA Cup,Kampala,Uganda,FALSE,2
United States,Cuba,CONCACAF Nations League,Washington,United States,FALSE,2
Luxembourg,Germany,Friendly,Luxembourg,Luxembourg,FALSE,1
Burma,South Korea,Asian Games,Manila,Philippines,TRUE,0
Turkey,United States,Friendly,Istanbul,Turkey,FALSE,0
Saint Lucia,Saint Vincent and the Grenadines,Windward Islands Tournament,Castries,Saint Lucia,FALSE,1
Venezuela,Uruguay,Copa América,San Cristóbal,Venezuela,FALSE,1
Oman,Syria,Friendly,Muscat,Oman,FALSE,0
Honduras,Canada,CONCACAF Nations League,San Pedro Sula,Honduras,FALSE,2
Argentina,Paraguay,Copa América,Concepción,Chile,TRUE,2
Tunisia,Malta,Friendly,Tunis,Tunisia,FALSE,1
Moldova,Austria,UEFA Euro qualification,Tiraspol,Moldova,FALSE,2
Iran,Bolivia,Friendly,Tehran,Iran,FALSE,2
Tunisia,Liberia,Friendly,Tunis,Tunisia,FALSE,2
Kenya,Uganda,African Cup of Nations qualification,Nairobi,Kenya,FALSE,0
Japan,Sweden,King's Cup,Bangkok,Thailand,TRUE,1
Albania,Liechtenstein,Friendly,Tirana,Albania,FALSE,2
Liberia,Gambia,FIFA World Cup qualification,Paynesville,Liberia,FALSE,0
Norway,Scotland,Friendly,Oslo,Norway,FALSE,1
Netherlands,Argentina,FIFA World Cup,Gelsenkirchen,Germany,TRUE,2
Iran,Costa Rica,Friendly,Tehran,Iran,FALSE,0
Mauritius,South Africa,COSAFA Cup,Lobamba,Swaziland,TRUE,1
Zambia,Angola,COSAFA Cup,Lusaka,Zambia,FALSE,2
Malaysia,India,Merdeka Tournament,Kuala Lumpur,Malaysia,FALSE,2
Barbados,Guyana,Friendly,Bridgetown,Barbados,FALSE,0
DR Congo,Madagascar,FIFA World Cup qualification,Kinshasa,DR Congo,FALSE,2
Ecuador,Peru,Copa América,Goiânia,Brazil,TRUE,0
Norway,Hungary,UEFA Euro qualification,Oslo,Norway,FALSE,2
Poland,Romania,Friendly,Warsaw,Poland,FALSE,1
Madagascar,Mozambique,FIFA World Cup qualification,Antananarivo,Madagascar,FALSE,0
Lebanon,Kuwait,Friendly,Tripoli,Lebanon,FALSE,2
Oman,Maldives,Friendly,Muscat,Oman,FALSE,2
Sweden,Denmark,Nordic Championship,Gothenburg,Sweden,FALSE,2
Lithuania,Spain,FIFA World Cup qualification,Vilnius,Lithuania,FALSE,1
Bahrain,Singapore,FIFA World Cup qualification,Kuwait City,Kuwait,TRUE,2
Czech Republic,Australia,Friendly,Sankt Pölten,Austria,TRUE,1
Mauritius,Réunion,Friendly,Antananarivo,Madagascar,TRUE,2
Qatar,Lebanon,FIFA World Cup qualification,Doha,Qatar,FALSE,2
Tunisia,Algeria,Friendly,Tunis,Tunisia,FALSE,1
North Macedonia,Turkey,FIFA World Cup qualification,Skopje,North Macedonia,FALSE,1
Cameroon,Mauritania,African Cup of Nations qualification,Yaoundé,Cameroon,FALSE,2
Canada,Mexico,FIFA World Cup qualification,Toronto,Canada,FALSE,1
Spain,Hungary,Friendly,Madrid,Spain,FALSE,2
Burkina Faso,Angola,African Cup of Nations qualification,Ouagadougou,Burkina Faso,FALSE,0
Namibia,Mozambique,Friendly,Windhoek,Namibia,FALSE,0
Libya,Palestine,Kuneitra Cup,Damascus,Syria,TRUE,0
Italy,Belarus,FIFA World Cup qualification,Parma,Italy,FALSE,2
Oman,Switzerland,Friendly,Muscat,Oman,FALSE,1
Egypt,Estonia,Friendly,Cairo,Egypt,FALSE,0
Germany,Argentina,FIFA World Cup,Rio de Janeiro,Brazil,TRUE,2
Italy,Wales,UEFA Euro qualification,Milan,Italy,FALSE,2
Egypt,DR Congo,African Cup of Nations,Cairo,Egypt,FALSE,2
Wales,Republic of Ireland,UEFA Nations League,Cardiff,Wales,FALSE,2
South Korea,Macau,AFC Asian Cup qualification,Manila,Philippines,TRUE,2
Macau,Northern Mariana Islands,EAFF Championship,Yona,Guam,TRUE,2
Hungary,Iceland,FIFA World Cup qualification,Budapest,Hungary,FALSE,1
Gambia,Ghana,Friendly,Lagos,Nigeria,TRUE,1
Lesotho,Mauritius,African Cup of Nations qualification,Maseru,Lesotho,FALSE,0
Russia,Sweden,UEFA Euro qualification,Moscow,Soviet Union,FALSE,2
Senegal,Benin,FIFA World Cup qualification,Dakar,Senegal,FALSE,2
Curaçao,Antigua and Barbuda,FIFA World Cup qualification,Willemstad,Netherlands Antilles,TRUE,0
Hungary,Armenia,Cyprus International Tournament,Paphos,Cyprus,TRUE,2
Montenegro,Wales,UEFA Euro qualification,Podgorica,Montenegro,FALSE,2
Serbia,North Macedonia,FIFA World Cup qualification,Jagodina,Serbia,FALSE,2
Djibouti,Sudan,CECAFA Cup,Bahir Dar,Ethiopia,TRUE,1
Jersey,Orkney,Island Games,Douglas,Isle of Man,TRUE,2
El Salvador,Curaçao,CCCF Championship,Guatemala,Guatemala,TRUE,2
Sierra Leone,Lesotho,African Cup of Nations qualification,Freetown,Sierra Leone,FALSE,0
Kyrgyzstan,Lithuania,Friendly,Moscow,Soviet Union,TRUE,0
Tanzania,Kenya,Friendly,Zanzibar,Tanzania,FALSE,2
Bahrain,Tajikistan,Friendly,Dubai,United Arab Emirates,TRUE,2
Sweden,Germany,FIFA World Cup qualification,Solna,Sweden,FALSE,0
Malawi,Botswana,Friendly,Blantyre,Malawi,FALSE,2
German DR,Denmark,Friendly,Leipzig,German DR,FALSE,1
Russia,Switzerland,UEFA Euro qualification,Moscow,Russia,FALSE,2
New Zealand,Australia,Friendly,Christchurch,New Zealand,FALSE,1
Uzbekistan,China PR,AFC Asian Cup,Shah Alam,Malaysia,TRUE,2
Isle of Man,Rhodes,Island Games,Ramsey,Isle of Man,FALSE,1
Japan,Uruguay,Friendly,Sapporo,Japan,FALSE,1
Tunisia,Peru,Friendly,Tunis,Tunisia,FALSE,0
Netherlands,Belgium,FIFA World Cup,Saint-Denis,France,TRUE,0
Iran,Azerbaijan,Friendly,Tehran,Iran,FALSE,2
Hungary,Greece,FIFA World Cup qualification,Budapest,Hungary,FALSE,2
South Korea,Turkey,FIFA World Cup,Geneva,Switzerland,TRUE,1
Estonia,Sweden,Friendly,Tallinn,Estonia,FALSE,1
Ukraine,France,UEFA Euro,Donetsk,Ukraine,FALSE,1
Kuwait,Iran,FIFA World Cup qualification,Kuwait City,Kuwait,FALSE,0
Guatemala,Costa Rica,CONCACAF Championship,Guatemala,Guatemala,FALSE,0
Hungary,Greece,Friendly,Budapest,Hungary,FALSE,0
Saint Kitts and Nevis,Barbados,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,FALSE,1
Uruguay,Paraguay,FIFA World Cup qualification,Montevideo,Uruguay,FALSE,1
Qatar,Finland,Friendly,Doha,Qatar,FALSE,0
Wales,England,British Home Championship,Wrexham,Wales,FALSE,1
Mexico,South Korea,Marlboro Cup,Los Angeles,United States,TRUE,2
Iceland,Cyprus,UEFA Euro qualification,Reykjavík,Iceland,FALSE,2
Mauritania,Mali,Amílcar Cabral Cup,Nouakchott,Mauritania,FALSE,1
Kuwait,Trinidad and Tobago,Friendly,Shanghai,China PR,TRUE,0
Paraguay,Nicaragua,Friendly,Asunción,Paraguay,FALSE,2
Bolivia,Peru,FIFA World Cup qualification,La Paz,Bolivia,FALSE,2
Israel,Greece,Friendly,Ramat-Gan,Israel,FALSE,0
Colombia,Poland,Marlboro Cup,Chicago,United States,TRUE,2
Paraguay,Mexico,Copa América,Cali,Colombia,TRUE,0
Sealand,Chagos Islands,Friendly,Godalming,England,TRUE,0
Ivory Coast,Mali,Friendly,Abidjan,Ivory Coast,FALSE,1
Japan,Senegal,Kirin Cup,Hiroshima,Japan,FALSE,0
Sudan,Zanzibar,CECAFA Cup,Arusha,Tanzania,TRUE,0
Belgium,Luxembourg,UEFA Euro qualification,Bruges,Belgium,FALSE,2
Burkina Faso,Central African Republic,Africa Cup of Nations qualification,Ouagadougou,Burkina Faso,FALSE,2
Italy,Hungary,Friendly,Milan,Italy,FALSE,2
South Africa,Benin,FIFA World Cup qualification,Durban,South Africa,FALSE,2
Italy,Northern Ireland,Friendly,Bologna,Italy,FALSE,2
Sweden,Bulgaria,UEFA Euro qualification,Solna,Sweden,FALSE,2
Switzerland,Hungary,Central European International Cup,Berne,Switzerland,FALSE,1
Algeria,Romania,Friendly,Algiers,Algeria,FALSE,0
Malaysia,Yemen,Friendly,Kuala Lumpur,Malaysia,FALSE,2
Malta,Denmark,FIFA World Cup qualification,Attard,Malta,FALSE,1
Seychelles,Maldives,Friendly,Victoria,Seychelles,FALSE,2
Portugal,Brazil,FIFA World Cup,Durban,South Africa,TRUE,0
Japan,Nepal,FIFA World Cup qualification,Tokyo,Japan,FALSE,2
Saint Martin,Saint Barthélemy,Friendly,Quartier-d'Orleans,Saint Martin,FALSE,2
Poland,Denmark,FIFA World Cup qualification,Chorzów,Poland,FALSE,2
Qatar,United Arab Emirates,FIFA World Cup qualification,Doha,Qatar,FALSE,1
Gambia,Sierra Leone,Amílcar Cabral Cup,Dakar,Senegal,TRUE,1
Croatia,Italy,UEFA Euro qualification,Split,Croatia,FALSE,0
Kyrgyzstan,Uzbekistan,Friendly,Shymkent,Kazakhstan,TRUE,1
Uruguay,Argentina,Copa Premio Honor Uruguayo,Montevideo,Uruguay,FALSE,1
North Macedonia,Armenia,UEFA Euro qualification,Skopje,North Macedonia,FALSE,1
Hungary,Finland,UEFA Euro qualification,Budapest,Hungary,FALSE,2
Georgia,Cyprus,UEFA Euro qualification,Tbilisi,Georgia,FALSE,2
North Macedonia,Finland,Friendly,Prilep,North Macedonia,FALSE,2
Ukraine,Greece,FIFA World Cup qualification,Kyiv,Ukraine,FALSE,0
