home_team,away_team,tournament,city,country,neutral,result
Yugoslavia,Romania,Friendly,Belgrade,Yugoslavia,FALSE,1
Ghana,Uganda,FIFA World Cup qualification,Kumasi,Ghana,FALSE,2
Paraguay,Uruguay,Atlantic Cup,Asunción,Paraguay,FALSE,2
Morocco,Gambia,African Cup of Nations qualification,Rabat,Morocco,FALSE,2
Macau,Nepal,FIFA World Cup qualification,Almaty,Kazakhstan,TRUE,1
Trinidad and Tobago,Guyana,Friendly,Port of Spain,Trinidad and Tobago,FALSE,0
Jordan,Syria,Prime Minister's Cup,Riffa,Bahrain,TRUE,2
Thailand,Lebanon,AFC Asian Cup qualification,Bangkok,Thailand,FALSE,1
Egypt,Guinea,Friendly,Cairo,Egypt,FALSE,0
New Zealand,Tahiti,Oceania Nations Cup,Auckland,New Zealand,FALSE,2
Portugal,Cyprus,UEFA Euro qualification,Guimarães,Portugal,FALSE,0
Madagascar,Réunion,Friendly,Antananarivo,Madagascar,FALSE,2
Frøya,Greenland,Island Games,Hemse,Sweden,TRUE,0
Norway,Republic of Ireland,Friendly,Oslo,Norway,FALSE,1
Singapore,Yemen,FIFA World Cup qualification,Kallang,Singapore,FALSE,0
China PR,Syria,Friendly,Kunming,China PR,FALSE,2
Japan,Argentina,Friendly,Saitama,Japan,FALSE,2
Poland,Belarus,Friendly,Grodzisk Wielkopolski,Poland,FALSE,1
Sudan,Kenya,African Cup of Nations qualification,Khartoum,Sudan,FALSE,2
Qatar,Myanmar,Asian Games,Miyoshi,Japan,TRUE,0
Qatar,Finland,Friendly,Doha,Qatar,FALSE,2
United States,Guatemala,USA Cup,Los Angeles,United States,FALSE,2
England,Republic of Ireland,Friendly,London,England,FALSE,2
São Tomé and Príncipe,Gabon,African Cup of Nations qualification,São Tomé,São Tomé and Príncipe,FALSE,0
Gabon,Angola,African Cup of Nations qualification,Franceville,Gabon,FALSE,2
Haiti,Honduras,FIFA World Cup qualification,Port-au-Prince,Haiti,FALSE,1
Zambia,Zimbabwe,CECAFA Cup,Blantyre,Malawi,TRUE,0
Sudan,Rwanda,CECAFA Cup,Machakos,Kenya,TRUE,2
Bahrain,New Zealand,Friendly,Riffa,Bahrain,FALSE,1
Lesotho,Angola,COSAFA Cup,Maseru,Lesotho,FALSE,1
Brazil,Australia,FIFA World Cup,Munich,Germany,TRUE,2
Germany,Czechoslovakia,Friendly,Dresden,Germany,FALSE,2
Belize,French Guiana,CONCACAF Nations League,Belmopan,Belize,FALSE,2
Belgium,Turkey,Friendly,Brussels,Belgium,FALSE,0
Guatemala,Saint Vincent and the Grenadines,FIFA World Cup qualification,Guatemala City,Guatemala,FALSE,2
Jordan,Australia,FIFA World Cup qualification,Amman,Jordan,FALSE,2
DR Congo,South Africa,FIFA World Cup qualification,Kinshasa,DR Congo,FALSE,2
Liberia,Namibia,FIFA World Cup qualification,Monrovia,Liberia,FALSE,1
Romania,Cyprus,UEFA Euro qualification,Bucharest,Romania,FALSE,2
Cape Verde,Sierra Leone,Amílcar Cabral Cup,Dakar,Senegal,TRUE,0
Ivory Coast,Senegal,Friendly,Abidjan,Ivory Coast,FALSE,2
France,Uruguay,Olympic Games,Colombes,France,FALSE,1
Botswana,Mozambique,Friendly,Lobamba,Swaziland,TRUE,2
Curaçao,French Guiana,CFU Caribbean Cup qualification,Oranjestad,Aruba,TRUE,2
Oman,North Korea,Friendly,Singapore,Singapore,TRUE,0
Mali,Ivory Coast,Friendly,Bamako,Mali,FALSE,1
Brazil,Cameroon,Friendly,London,England,TRUE,2
Scotland,Russia,UEFA Euro qualification,Glasgow,Scotland,FALSE,0
Scotland,Northern Ireland,British Home Championship,Glasgow,Scotland,FALSE,2
Gabon,Sierra Leone,African Cup of Nations qualification,Libreville,Gabon,FALSE,2
Scotland,Chile,Rous Cup,Glasgow,Scotland,FALSE,2
Zimbabwe,Mauritius,Friendly,Salisbury,Rhodesia,FALSE,1
Qatar,Turkmenistan,Friendly,Doha,Qatar,FALSE,2
Japan,South Korea,EAFF Championship,Wuhan,China PR,TRUE,0
Gambia,Guinea-Bissau,Amílcar Cabral Cup,Banjul,Gambia,FALSE,2
Zimbabwe,Zambia,Friendly,Salisbury,Southern Rhodesia,FALSE,2
Argentina,Sweden,FIFA World Cup,Bologna,Italy,TRUE,1
Algeria,Sudan,Friendly,Algiers,Algeria,FALSE,2
Papua New Guinea,Samoa,Oceania Nations Cup,Port Moresby,Papua New Guinea,FALSE,2
Taiwan,Timor-Leste,FIFA World Cup qualification,Kaohsiung,Taiwan,FALSE,2
Brazil,England,FIFA World Cup,Viña del Mar,Chile,TRUE,2
Austria,Latvia,Friendly,Graz,Austria,FALSE,2
Ethiopia,Zanzibar,CECAFA Cup,Kigali,Rwanda,TRUE,2
Kuwait,Nepal,Friendly,Al Ahmadi,Kuwait,FALSE,0
Colombia,Venezuela,Bolivarian Games,Bogotá,Colombia,FALSE,2
Thailand,Brunei,Southeast Asian Games,Singapore,Singapore,TRUE,2
El Salvador,Honduras,Friendly,Cary,United States,TRUE,1
Japan,Saudi Arabia,AFC Asian Cup,Beirut,Lebanon,TRUE,2
Sierra Leone,Guinea-Bissau,African Cup of Nations qualification,Conakry,Guinea,TRUE,0
Haiti,Canada,Gold Cup,Miami,United States,TRUE,1
Jordan,Uruguay,FIFA World Cup qualification,Amman,Jordan,FALSE,1
Namibia,Zimbabwe,COSAFA Cup,Moruleng-Saulspoort,South Africa,TRUE,2
Argentina,Paraguay,Copa América,Montevideo,Uruguay,TRUE,2
Serbia,Lithuania,UEFA Euro qualification,Belgrade,Serbia,FALSE,2
Jersey,Guernsey,Muratti Vase,Jersey,Jersey,FALSE,1
Spain,Austria,UEFA Euro qualification,Valencia,Spain,FALSE,2
Australia,Sweden,Friendly,Sydney,Australia,FALSE,0
Switzerland,Greece,UEFA Euro qualification,Berne,Switzerland,FALSE,2
Mexico,Venezuela,Copa América,Houston,United States,TRUE,0
Tunisia,Mauritania,African Cup of Nations,Limbé,Cameroon,TRUE,2
Ivory Coast,Burkina Faso,Friendly,Abidjan,Ivory Coast,FALSE,2
Sweden,Finland,Friendly,Stockholm,Sweden,FALSE,1
China PR,Turkmenistan,FIFA World Cup qualification,Beijing,China PR,FALSE,2
Cameroon,Uganda,African Cup of Nations qualification,Yaoundé,Cameroon,FALSE,2
Mali,Ivory Coast,FIFA World Cup qualification,Bamako,Mali,FALSE,0
Denmark,Poland,Friendly,Copenhagen,Denmark,FALSE,2
England,France,Friendly,London,England,FALSE,2
Norway,Switzerland,Friendly,Kristiania,Norway,FALSE,0
Cameroon,Congo,Friendly,Yaoundé,Cameroon,FALSE,0
Kuwait,Uzbekistan,Friendly,Kuwait City,Kuwait,FALSE,2
Argentina,Uruguay,Copa Premio Honor Argentino,Buenos Aires,Argentina,FALSE,2
Rwanda,Burundi,Friendly,Kigali,Rwanda,FALSE,0
Austria,Czechoslovakia,Friendly,Vienna,Austria,FALSE,1
Czechoslovakia,Albania,UEFA Euro qualification,Olomouc,Czechoslovakia,FALSE,2
Republic of Ireland,Austria,Friendly,Dublin,Republic of Ireland,FALSE,2
Lithuania,Latvia,FIFA World Cup qualification,Vilnius,Lithuania,FALSE,0
United States,Czechoslovakia,FIFA World Cup,Florence,Italy,TRUE,1
Madagascar,Congo,Friendly,Antananarivo,Madagascar,FALSE,2
Serbia,Bosnia and Herzegovina,Millennium Cup,Kochi,India,TRUE,0
Lithuania,Slovakia,FIFA World Cup qualification,Vilnius,Lithuania,FALSE,1
Jamaica,Suriname,CONCACAF Nations League,Kingston,Jamaica,FALSE,2
Kenya,Uganda,CECAFA Cup,Arusha,Tanzania,TRUE,0
Peru,Venezuela,FIFA World Cup qualification,Lima,Peru,FALSE,2
Trinidad and Tobago,Suriname,Friendly,Port of Spain,Trinidad and Tobago,FALSE,1
Nigeria,Liberia,Friendly,Lagos,Nigeria,FALSE,2
Guinea,Morocco,FIFA World Cup qualification,Conakry,Guinea,FALSE,0
England,Yugoslavia,Friendly,London,England,FALSE,0
Hungary,Greece,FIFA World Cup qualification,Budapest,Hungary,FALSE,1
Belarus,Netherlands,UEFA Euro qualification,Minsk,Belarus,FALSE,2
Kuwait,Norway,Friendly,Kuwait City,Kuwait,FALSE,2
Slovakia,Germany,UEFA Euro qualification,Bratislava,Slovakia,FALSE,1
Yemen,Malaysia,AFC Asian Cup qualification,Al Ain,United Arab Emirates,TRUE,1
Oman,Benin,Friendly,Sur,Oman,FALSE,2
Malawi,Zambia,Friendly,Lilongwe,Malawi,FALSE,1
Fiji,Papua New Guinea,South Pacific Games,Papeete,French Polynesia,TRUE,0
Bulgaria,Portugal,FIFA World Cup,Manchester,England,TRUE,1
France,Belgium,Friendly,Paris,France,FALSE,2
Venezuela,New Zealand,Friendly,Maracaibo,Venezuela,FALSE,2
Germany,Argentina,Friendly,Munich,Germany,FALSE,1
Colombia,Costa Rica,Copa América,Trujillo,Peru,TRUE,2
Kazakhstan,Andorra,FIFA World Cup qualification,Almaty,Kazakhstan,FALSE,2
Bahrain,Saudi Arabia,FIFA World Cup qualification,Riffa,Bahrain,FALSE,0
United States,Moldova,Friendly,Jacksonville,United States,FALSE,0
Czech Republic,San Marino,FIFA World Cup qualification,Plzeň,Czech Republic,FALSE,2
United Arab Emirates,Norway,Friendly,Sharjah,United Arab Emirates,FALSE,0
Thailand,Hong Kong,Friendly,Bangkok,Thailand,FALSE,1
Cayman Islands,British Virgin Islands,CONCACAF Nations League,George Town,Cayman Islands,FALSE,0
Ghana,Ivory Coast,Friendly,Accra,Ghana,FALSE,2
Benin,Niger,FIFA World Cup qualification,Cotonou,Benin,FALSE,2
India,Japan,Merdeka Tournament,Kuala Lumpur,Malaysia,TRUE,1
Estonia,Northern Ireland,UEFA Euro qualification,Tallinn,Estonia,FALSE,2
United Arab Emirates,Qatar,Gulf Cup,Abu Dhabi,United Arab Emirates,FALSE,2
Ghana,Mali,African Cup of Nations,Malabo,Equatorial Guinea,TRUE,1
Saudi Arabia,New Zealand,Friendly,Singapore,Singapore,TRUE,2
India,Cambodia,Merdeka Tournament,Kuala Lumpur,Malaysia,TRUE,2
Oman,Japan,FIFA World Cup qualification,Muscat,Oman,FALSE,1
Costa Rica,Nicaragua,UNCAF Cup,Panama City,Panama,TRUE,2
Malaysia,Laos,AFF Championship,Singapore,Singapore,TRUE,0
Sweden,San Marino,UEFA Euro qualification,Malmö,Sweden,FALSE,2
Finland,Mexico,Friendly,Helsinki,Finland,FALSE,1
Costa Rica,Belize,UNCAF Cup,San José,Costa Rica,FALSE,2
Italy,Belgium,Friendly,Bari,Italy,FALSE,2
Grenada,French Guiana,CONCACAF Nations League,Grenada,Grenada,FALSE,2
Portugal,Israel,FIFA World Cup qualification,Lisbon,Portugal,FALSE,2
Barbados,Curaçao,Friendly,Bridgetown,Barbados,FALSE,1
Austria,Scotland,Friendly,Vienna,Austria,FALSE,2
Haiti,Jamaica,Friendly,Port-au-Prince,Haiti,FALSE,2
Australia,New Zealand,Friendly,Melbourne,Australia,FALSE,2
DR Congo,Kenya,African Cup of Nations qualification,Kinshasa,DR Congo,FALSE,2
Azerbaijan,Germany,FIFA World Cup qualification,Baku,Azerbaijan,FALSE,1
Sierra Leone,Guinea,Amílcar Cabral Cup,Nouakchott,Mauritania,TRUE,2
Portugal,Azerbaijan,UEFA Euro qualification,Guimarães,Portugal,FALSE,2
Qatar,Yemen,AFC Asian Cup qualification,Doha,Qatar,FALSE,2
Chad,Cameroon,UDEAC Cup,Malabo,Equatorial Guinea,TRUE,1
Wales,Austria,Friendly,Swansea,Wales,FALSE,2
Hungary,Italy,Central European International Cup,Budapest,Hungary,FALSE,2
Venezuela,Panama,Friendly,Al Hamriyah,United Arab Emirates,TRUE,0
Mozambique,Botswana,Friendly,Maputo,Mozambique,FALSE,2
Palestine,Singapore,FIFA World Cup qualification,Al Rayyan,Qatar,TRUE,1
Czechoslovakia,Wales,UEFA Euro qualification,Prague,Czechoslovakia,FALSE,2
Angola,Cape Verde,Friendly,Lisbon,Portugal,TRUE,0
Paraguay,Argentina,Copa Chevallier Boutell,Asunción,Paraguay,FALSE,1
Mexico,United States,FIFA World Cup,Jeonju,South Korea,TRUE,1
Barbados,Cayman Islands,CONCACAF Nations League,Bridgetown,Barbados,FALSE,2
Uruguay,Australia,FIFA World Cup qualification,Montevideo,Uruguay,FALSE,2
Argentina,Netherlands,FIFA 75th Anniversary Cup,Berne,Switzerland,TRUE,0
France,Yugoslavia,Friendly,Colombes,France,FALSE,2
Gibraltar,Isle of Wight,Island Games,Gibraltar,Gibraltar,FALSE,1
Moldova,Georgia,Friendly,Chișinău,Moldova,FALSE,0
Scotland,Northern Ireland,British Home Championship,Glasgow,Scotland,FALSE,2
Malaysia,Hong Kong,FIFA World Cup qualification,Kallang,Singapore,TRUE,0
Sierra Leone,Liberia,Friendly,Freetown,Sierra Leone,FALSE,0
Luxembourg,Iceland,UEFA Euro qualification,Luxembourg,Luxembourg,FALSE,2
Sweden,Finland,Friendly,Stockholm,Sweden,FALSE,2
Martinique,French Guiana,CFU Caribbean Cup qualification,Fort-de-France,Martinique,FALSE,2
Switzerland,Netherlands,Friendly,Lausanne,Switzerland,FALSE,1
Spain,Honduras,FIFA World Cup,Valencia,Spain,FALSE,0
Peru,Ecuador,FIFA World Cup qualification,Lima,Peru,FALSE,0
Cayman Islands,Montserrat,CONCACAF Nations League qualification,West Bay,Cayman Islands,FALSE,1
Mozambique,Rwanda,African Cup of Nations qualification,Johannesburg,South Africa,TRUE,0
Malaysia,Bangladesh,FIFA World Cup qualification,Kuala Lumpur,Malaysia,FALSE,2
Angola,DR Congo,African Cup of Nations qualification,Luanda,Angola,FALSE,1
Norway,Sweden,Friendly,Kristiania,Norway,FALSE,1
Bahrain,Qatar,Gulf Cup,Riyadh,Saudi Arabia,TRUE,2
DR Congo,Uganda,African Cup of Nations qualification,Kinshasa,DR Congo,FALSE,2
Switzerland,Italy,FIFA World Cup qualification,Basel,Switzerland,FALSE,0
Greece,Russia,UEFA Euro,Salzburg,Austria,TRUE,1
Sri Lanka,Thailand,AFC Asian Cup qualification,Namangan,Uzbekistan,TRUE,1
Turkey,Iceland,FIFA World Cup qualification,Istanbul,Turkey,FALSE,0
Lithuania,Estonia,UEFA Euro qualification,Vilnius,Lithuania,FALSE,1
Uganda,Kenya,African Cup of Nations qualification,Kampala,Uganda,FALSE,2
Botswana,Libya,Friendly,Gaborone,Botswana,FALSE,0
Switzerland,Hungary,FIFA World Cup qualification,Basel,Switzerland,FALSE,2
Bulgaria,Italy,FIFA World Cup,East Rutherford,United States,TRUE,1
